"id","original_code","error_type","error_message","error_line","target_action","fixed_code","complexity"
"13803","let sum = 0;
print(""hello);
    if (sum > 3) {
        print(sum);
    }
    sum = sum + 1;
}","Lexical","Unterminated string","2","INSERT_QUOTE","let sum = 0;
print(""hello"");
    if (sum > 3) {
        print(sum);
    }
    sum = sum + 1;
}","medium"
"13804","for (let result = 0; result < 0; result = result + 1) {
print(""hello);
        print(result);
    }
}","Lexical","Unterminated string","2","INSERT_QUOTE","for (let result = 0; result < 0; result = result + 1) {
print(""hello"");
        print(result);
    }
}","medium"
"13805","let max = 5;
print(max)","Syntactic","Expected ';' after print statement","2","INSERT_SEMICOLON","let max = 5;
print(max);","short"
"13806","let y = 20;
if (y < 5) {
print(""hello);
} else {
    print(""high"");
}","Lexical","Unterminated string","3","INSERT_QUOTE","let y = 20;
if (y < 5) {
print(""hello"");
} else {
    print(""high"");
}","medium"
"13807","let temp = 0;
let temp = 0;
while (temp < 5) {
    if (temp > 3) {
        print(temp);
    }
    temp = temp + 1;
}","Semantic","Variable 'temp' already declared","2","REMOVE_LET_OR_RENAME","let temp = 0;
temp = 0;
while (temp < 5) {
    if (temp > 3) {
        print(temp);
    }
    temp = temp + 1;
}","medium"
"13808","let name = [99, 20, 0];
print(""hello);","Lexical","Unterminated string","2","INSERT_QUOTE","let name = [99, 20, 0];
print(""hello"");","short"
"13809","let arr = [42, 15, 0, 5, 9];
let max = 0
for (let j = 0; j < 5; j = j + 1) {
    if (arr[j] > max) {
        max = arr[j];
    }
}
let name = max;
print(name);
if (name == 0) {
    print(""Zero"");
}","Syntactic","Expected ';' after variable declaration","2","INSERT_SEMICOLON","let arr = [42, 15, 0, 5, 9];
let max = 0;
for (let j = 0; j < 5; j = j + 1) {
    if (arr[j] > max) {
        max = arr[j];
    }
}
let name = max;
print(name);
if (name == 0) {
    print(""Zero"");
}","long"
"13810","print(""hello);
print(limit);","Lexical","Unterminated string","1","INSERT_QUOTE","print(""hello"");
print(limit);","short"
"13811","let index = 3;
print(index)$;","Lexical","Unexpected character '$'","2","DELETE_CHAR_AT_INDEX","let index = 3;
print(index);","short"
"13812","let found = 0
while (found < 10) {
    if (found > 3) {
        print(found);
    }
    found = found + 1;
}","Syntactic","Expected ';' after variable declaration","1","INSERT_SEMICOLON","let found = 0;
while (found < 10) {
    if (found > 3) {
        print(found);
    }
    found = found + 1;
}","medium"
"13813","arr = 15;
if (arr > 0) {
    print(arr);
}","Semantic","Variable 'arr' used before declaration","1","PREPEND_LET","let arr = 15;
if (arr > 0) {
    print(arr);
}","medium"
"13814","let k = 1;
print(k;","Syntactic","Expected ')'","2","INSERT_RPAREN","let k = 1;
print(k);","short"
"13815","print(""hello);
if (min > 0) {
    print(min);
}","Lexical","Unterminated string","1","INSERT_QUOTE","print(""hello"");
if (min > 0) {
    print(min);
}","medium"
"13816","let data = 42;
data[0] = 1;
let limit = data * 2;
print(limit);","Semantic","'data' is not an array","2","MAKE_ARRAY","let data = [0, 0];
data[0] = 1;
let limit = data * 2;
print(limit);","medium"
"13817","for (let player = 0; player < 10; player = player + 1) {
    let value = player * 42@;
    print(value);
}","Lexical","Unexpected character '@'","2","DELETE_CHAR_AT_INDEX","for (let player = 0; player < 10; player = player + 1) {
    let value = player * 42;
    print(value);
}","medium"
"13818","let data = 0;
let total = 10;
let sum = 0;
while (data < total) {
    if (data > 5) {
        sum = sum + data;
    } else {
print(""hello);
    }
    data = data + 1;
}
print(sum);","Lexical","Unterminated string","8","INSERT_QUOTE","let data = 0;
let total = 10;
let sum = 0;
while (data < total) {
    if (data > 5) {
        sum = sum + data;
    } else {
print(""hello"");
    }
    data = data + 1;
}
print(sum);","long"
"13819","count = 0;
while (count < 2) {
    for (let k = 0; k < 20; k = k + 1) {
        print(k);
    }
    count = count + 1;
}
print(count);","Semantic","Variable 'count' used before declaration","1","PREPEND_LET","let count = 0;
while (count < 2) {
    for (let k = 0; k < 20; k = k + 1) {
        print(k);
    }
    count = count + 1;
}
print(count);","medium"
"13820","let k = 99;
print(""hello);
if (k > total) {
    print(""greater"");
    k = k - 1;
} else {
    if (k == total) {
        print(""equal"");
    } else {
        print(""less"");
    }
}
print(k);","Lexical","Unterminated string","2","INSERT_QUOTE","let k = 99;
print(""hello"");
if (k > total) {
    print(""greater"");
    k = k - 1;
} else {
    if (k == total) {
        print(""equal"");
    } else {
        print(""less"");
    }
}
print(k);","long"
"13821","let name = 20
print(name);","Syntactic","Expected ';' after variable declaration","1","INSERT_SEMICOLON","let name = 20;
print(name);","short"
"13822","let size = 0;
while (size < 20) {
    for (let k = 0; k < 10; k = k + 1) {
        print(k);
    
    size = size + 1;
}
print(size);","Syntactic","Expected '}' to close block","5","INSERT_RBRACE","let size = 0;
while (size < 20) {
    for (let k = 0; k < 10; k = k + 1) {
        print(k);
    }
    size = size + 1;
}
print(size);","medium"
"13823","let y = 100;
let result = 0;
while (result < y) {
    result = result + 1;
}
print(result;","Syntactic","Expected ')'","6","INSERT_RPAREN","let y = 100;
let result = 0;
while (result < y) {
    result = result + 1;
}
print(result);","medium"
"13824","arr = [5, 1, 0, 5, 9];
let max = 0;
for (let j = 0; j < 5; j = j + 1) {
    if (arr[j] > max) {
        max = arr[j];
    }
}
let size = max;
print(size);
if (size == 0) {
    print(""Zero"");
}","Semantic","Variable 'arr' used before declaration","1","PREPEND_LET","let arr = [5, 1, 0, 5, 9];
let max = 0;
for (let j = 0; j < 5; j = j + 1) {
    if (arr[j] > max) {
        max = arr[j];
    }
}
let size = max;
print(size);
if (size == 0) {
    print(""Zero"");
}","long"
"13825","let data = [10, 20, 30, 40, 50];
let min = 30;
min[0] = 1;
let x = 0;
for (let i = 0; i < 5; i = i + 1) {
    if (data[i] == min) {
        x = 1;
    }
}
if (x == 1) {
    print(""Found"");
} else {
    print(""Not Found"");
}","Semantic","'min' is not an array","3","MAKE_ARRAY","let data = [10, 20, 30, 40, 50];
let min = [0, 0];
min[0] = 1;
let x = 0;
for (let i = 0; i < 5; i = i + 1) {
    if (data[i] == min) {
        x = 1;
    }
}
if (x == 1) {
    print(""Found"");
} else {
    print(""Not Found"");
}","long"
"13826","let max = [10, 20, 30, 40, 50];
let arr = 30;
arr[0] = 1;
let x = 0;
for (let i = 0; i < 5; i = i + 1) {
    if (max[i] == arr) {
        x = 1;
    }
}
if (x == 1) {
    print(""Found"");
} else {
    print(""Not Found"");
}","Semantic","'arr' is not an array","3","MAKE_ARRAY","let max = [10, 20, 30, 40, 50];
let arr = [0, 0];
arr[0] = 1;
let x = 0;
for (let i = 0; i < 5; i = i + 1) {
    if (max[i] == arr) {
        x = 1;
    }
}
if (x == 1) {
    print(""Found"");
} else {
    print(""Not Found"");
}","long"
"13827","let result = 0;
let index = 10;
let sum = 0;
while (result < index) {
    if (result > 5 {
        sum = sum + result;
    } else {
        sum = sum + index;
    }
    result = result + 1;
}
print(sum);","Syntactic","Expected ')'","5","INSERT_RPAREN","let result = 0;
let index = 10;
let sum = 0;
while (result < index) {
    if (result > 5) {
        sum = sum + result;
    } else {
        sum = sum + index;
    }
    result = result + 1;
}
print(sum);","long"
"13828","let temp = 0;
let index = 10;
let sum = 0;
while (temp < index) {
    if (temp > 5) {^
        sum = sum + temp;
    } else {
        sum = sum + index;
    }
    temp = temp + 1;
}
print(sum);","Lexical","Unexpected character '^'","5","DELETE_CHAR_AT_INDEX","let temp = 0;
let index = 10;
let sum = 0;
while (temp < index) {
    if (temp > 5) {
        sum = sum + temp;
    } else {
        sum = sum + index;
    }
    temp = temp + 1;
}
print(sum);","long"
"13829","let arr = [3, 10, 0, 5, 9];
let max = 0;
for (let j = 0; j < 5; j = j + 1) {
    if (arr[j] > max) {
        max = arr[j];
    }&
}
let n = max;
print(n);
if (n == 0) {
    print(""Zero"");
}","Lexical","Unexpected character '&'","6","DELETE_CHAR_AT_INDEX","let arr = [3, 10, 0, 5, 9];
let max = 0;
for (let j = 0; j < 5; j = j + 1) {
    if (arr[j] > max) {
        max = arr[j];
    }
}
let n = max;
print(n);
if (n == 0) {
    print(""Zero"");
}","long"
"13830","let j = 42;
let j = 42;
if (j > 0) {
    print(j);
}","Semantic","Variable 'j' already declared","2","REMOVE_LET_OR_RENAME","let j = 42;
j = 42;
if (j > 0) {
    print(j);
}","medium"
"13831","let min = 1;
min[0] = 1;
let value = min * 2;
print(value);","Semantic","'min' is not an array","2","MAKE_ARRAY","let min = [0, 0];
min[0] = 1;
let value = min * 2;
print(value);","medium"
"13832","let score = 10;
score[0] = 1;
let min = score + 42;
print(min);","Semantic","'score' is not an array","2","MAKE_ARRAY","let score = [0, 0];
score[0] = 1;
let min = score + 42;
print(min);","medium"
"13833","let i = 0;
for (let i = 0; i < 100; i = i + 1) {
    for (let j = 0; j < 15; j = j + 1) {
        i = i + 1;
    }
}
print(i)@;","Lexical","Unexpected character '@'","7","DELETE_CHAR_AT_INDEX","let i = 0;
for (let i = 0; i < 100; i = i + 1) {
    for (let j = 0; j < 15; j = j + 1) {
        i = i + 1;
    }
}
print(i);","medium"
"13834","for (let total = 0; total < 7; total = total + 1) {
for (let total = 0; total < 7; total = total + 1) {
    if (total > 2) {
        print(total);
    }
}","Semantic","Variable 'total' already declared","2","REMOVE_LET_OR_RENAME","for (let total = 0; total < 7; total = total + 1) {
for (total = 0; total < 7; total = total + 1) {
    if (total > 2) {
        print(total);
    }
}","medium"
"13835","let arr = [42, 2, 0, 5, 9];
let max = 0;
for (let j = 0; j < 5; j = j + 1) {
    if (arr[j] > max) {
        max = arr[j];
    }
}~
let player = max;
print(player);
if (player == 0) {
    print(""Zero"");
}","Lexical","Unexpected character '~'","7","DELETE_CHAR_AT_INDEX","let arr = [42, 2, 0, 5, 9];
let max = 0;
for (let j = 0; j < 5; j = j + 1) {
    if (arr[j] > max) {
        max = arr[j];
    }
}
let player = max;
print(player);
if (player == 0) {
    print(""Zero"");
}","long"
"13836","let arr = [42, 99, 0, 5, 9];
let max = 0;
for (let j = 0; j < 5; j = j + 1) {
    if (arr[j] > max) {
        max = arr[j];
    }
}@
let max = max;
print(max);
if (max == 0) {
    print(""Zero"");
}","Lexical","Unexpected character '@'","7","DELETE_CHAR_AT_INDEX","let arr = [42, 99, 0, 5, 9];
let max = 0;
for (let j = 0; j < 5; j = j + 1) {
    if (arr[j] > max) {
        max = arr[j];
    }
}
let max = max;
print(max);
if (max == 0) {
    print(""Zero"");
}","long"
"13837","let size = 0;
while (size < 0) {
    print(size;
    size = size + 1;
}","Syntactic","Expected ')'","3","INSERT_RPAREN","let size = 0;
while (size < 0) {
    print(size);
    size = size + 1;
}","medium"
"13838","let count = 15;
if (count > 5) {
    let arr = count * 2;
    print(arr);
} else {
    print(count);
","Syntactic","Expected '}' to close block","7","INSERT_RBRACE","let count = 15;
if (count > 5) {
    let arr = count * 2;
    print(arr);
} else {
    print(count);
}","medium"
"13839","let x = 5;
let max = x * 2;
print(max;","Syntactic","Expected ')'","3","INSERT_RPAREN","let x = 5;
let max = x * 2;
print(max);","short"
"13840","print(""hello);
print(x[1]);","Lexical","Unterminated string","1","INSERT_QUOTE","print(""hello"");
print(x[1]);","short"
"13841","let arr = [100, 99, 0, 5, 9];
let max = 0;
for (let j = 0; j < 5; j = j + 1) {
    if (arr[j] > max) {
        max = arr[j];
    
}
let total = max;
print(total);
if (total == 0) {
    print(""Zero"");
}","Syntactic","Expected '}' to close block","6","INSERT_RBRACE","let arr = [100, 99, 0, 5, 9];
let max = 0;
for (let j = 0; j < 5; j = j + 1) {
    if (arr[j] > max) {
        max = arr[j];
    }
}
let total = max;
print(total);
if (total == 0) {
    print(""Zero"");
}","long"
"13842","let i = 0;
for (let i = 0; i < 99; i = i + 1) {
    for (let j = 0; j < 99; j = j + 1) {
        i = i + 1;
    
}
print(i);","Syntactic","Expected '}' to close block","5","INSERT_RBRACE","let i = 0;
for (let i = 0; i < 99; i = i + 1) {
    for (let j = 0; j < 99; j = j + 1) {
        i = i + 1;
    }
}
print(i);","medium"
"13843","let player = 100;
if (player > 0) {
    print(player)
}","Syntactic","Expected ';' after print statement","3","INSERT_SEMICOLON","let player = 100;
if (player > 0) {
    print(player);
}","medium"
"13844","let index = 7;
let index = 7;
let player = index * 2;
print(player);","Semantic","Variable 'index' already declared","2","REMOVE_LET_OR_RENAME","let index = 7;
index = 7;
let player = index * 2;
print(player);","medium"
"13845","let max = 100;
max[0] = 1;
if (max < 5) {
    print(""low"");
} else {
    print(""high"");
}","Semantic","'max' is not an array","2","MAKE_ARRAY","let max = [0, 0];
max[0] = 1;
if (max < 5) {
    print(""low"");
} else {
    print(""high"");
}","medium"
"13846","let k = 20;
k[0] = 1;
let value = k + 42;
print(value);","Semantic","'k' is not an array","2","MAKE_ARRAY","let k = [0, 0];
k[0] = 1;
let value = k + 42;
print(value);","medium"
"13847","let value = 1;
let arr = value * 2;
print(""hello);","Lexical","Unterminated string","3","INSERT_QUOTE","let value = 1;
let arr = value * 2;
print(""hello"");","short"
"13848","let k = 7;
let k = 7;
let count = 100;
if (k > count) {
    print(""greater"");
    k = k - 1;
} else {
    if (k == count) {
        print(""equal"");
    } else {
        print(""less"");
    }
}
print(k);","Semantic","Variable 'k' already declared","2","REMOVE_LET_OR_RENAME","let k = 7;
k = 7;
let count = 100;
if (k > count) {
    print(""greater"");
    k = k - 1;
} else {
    if (k == count) {
        print(""equal"");
    } else {
        print(""less"");
    }
}
print(k);","long"
"13849","let found = 100;
let index = 0;
while (index < found) {
    index = index + 1;
}$
print(index);","Lexical","Unexpected character '$'","5","DELETE_CHAR_AT_INDEX","let found = 100;
let index = 0;
while (index < found) {
    index = index + 1;
}
print(index);","medium"
"13850","temp = 1;
let data = 99;
if (temp > data) {
    print(""greater"");
    temp = temp - 1;
} else {
    if (temp == data) {
        print(""equal"");
    } else {
        print(""less"");
    }
}
print(temp);","Semantic","Variable 'temp' used before declaration","1","PREPEND_LET","let temp = 1;
let data = 99;
if (temp > data) {
    print(""greater"");
    temp = temp - 1;
} else {
    if (temp == data) {
        print(""equal"");
    } else {
        print(""less"");
    }
}
print(temp);","long"
"13851","let k = 7;
let arr = k + 100;
print(arr;","Syntactic","Expected ')'","3","INSERT_RPAREN","let k = 7;
let arr = k + 100;
print(arr);","short"
"13852","let value = 0;
while (value < 2) {
    for (let k = 0; k < 99; k = k + 1) {
        print(k);
    }
    value = value + 1#;
}
print(value);","Lexical","Unexpected character '#'","6","DELETE_CHAR_AT_INDEX","let value = 0;
while (value < 2) {
    for (let k = 0; k < 99; k = k + 1) {
        print(k);
    }
    value = value + 1;
}
print(value);","medium"
"13853","let target = 0;
let flag = 0;
if (target > flag) {
    print(""greater"");
    target = target - 1;
} else {
    if (target == flag) {
        print(""equal"");
    } else {
        print(""less"");
    }

print(target);","Syntactic","Expected '}' to close block","12","INSERT_RBRACE","let target = 0;
let flag = 0;
if (target > flag) {
    print(""greater"");
    target = target - 1;
} else {
    if (target == flag) {
        print(""equal"");
    } else {
        print(""less"");
    }
}
print(target);","long"
"13854","let flag = 20;
if (flag > 5) {
    let min = flag * 2;
    print(min);
} else {
    print(flag);
","Syntactic","Expected '}' to close block","7","INSERT_RBRACE","let flag = 20;
if (flag > 5) {
    let min = flag * 2;
    print(min);
} else {
    print(flag);
}","medium"
"13855","let i = 42
if (i < 5) {
    print(""low"");
} else {
    print(""high"");
}","Syntactic","Expected ';' after variable declaration","1","INSERT_SEMICOLON","let i = 42;
if (i < 5) {
    print(""low"");
} else {
    print(""high"");
}","medium"
"13856","let target = 10;
target[0] = 1;
let arr = 3;
if (target > arr) {
    print(""greater"");
    target = target - 1;
} else {
    if (target == arr) {
        print(""equal"");
    } else {
        print(""less"");
    }
}
print(target);","Semantic","'target' is not an array","2","MAKE_ARRAY","let target = [0, 0];
target[0] = 1;
let arr = 3;
if (target > arr) {
    print(""greater"");
    target = target - 1;
} else {
    if (target == arr) {
        print(""equal"");
    } else {
        print(""less"");
    }
}
print(target);","long"
"13857","let arr = [3, 1, 0, 5, 9];
let max = 0;
for (let j = 0; j < 5; j = j + 1) {
    if (arr[j] > max) {
        max = arr[j];
    }
}
let found = max;
print(found);
if (found == 0) {
    print(""Zero"";
}","Syntactic","Expected ')'","11","INSERT_RPAREN","let arr = [3, 1, 0, 5, 9];
let max = 0;
for (let j = 0; j < 5; j = j + 1) {
    if (arr[j] > max) {
        max = arr[j];
    }
}
let found = max;
print(found);
if (found == 0) {
    print(""Zero"");
}","long"
"13858","let flag = 3$;
print(flag);","Lexical","Unexpected character '$'","1","DELETE_CHAR_AT_INDEX","let flag = 3;
print(flag);","short"
"13859","value = 0;
while (value < 5) {
    if (value > 3) {
        print(value);
    }
    value = value + 1;
}","Semantic","Variable 'value' used before declaration","1","PREPEND_LET","let value = 0;
while (value < 5) {
    if (value > 3) {
        print(value);
    }
    value = value + 1;
}","medium"
"13860","let x = 0;
while (x < 3) {
    for (let k = 0; k < 2; k = k + 1) {
        print(k);
    }
    x = x + 1;
}
print(x)","Syntactic","Expected ';' after print statement","8","INSERT_SEMICOLON","let x = 0;
while (x < 3) {
    for (let k = 0; k < 2; k = k + 1) {
        print(k);
    }
    x = x + 1;
}
print(x);","medium"
"13861","let value = 0;
while (value < 7) {
    print(value);
    value = value + 1;
","Syntactic","Expected '}' to close block","5","INSERT_RBRACE","let value = 0;
while (value < 7) {
    print(value);
    value = value + 1;
}","medium"
"13862","let player = 20;
if (player > 0) {
    print(player);
","Syntactic","Expected '}' to close block","4","INSERT_RBRACE","let player = 20;
if (player > 0) {
    print(player);
}","short"
"13863","i = 3;
let player = i * 2;
print(player);","Semantic","Variable 'i' used before declaration","1","PREPEND_LET","let i = 3;
let player = i * 2;
print(player);","short"
"13864","let score = 15;
print(score)~;","Lexical","Unexpected character '~'","2","DELETE_CHAR_AT_INDEX","let score = 15;
print(score);","short"
"13865","let target = 10;
let target = 10;
print(target);","Semantic","Variable 'target' already declared","2","REMOVE_LET_OR_RENAME","let target = 10;
target = 10;
print(target);","short"
"13866","let arr = [1, 99, 0, 5, 9];
let max = 0;
for (let j = 0; j < 5; j = j + 1) {
    if (arr[j] > max) {$
        max = arr[j];
    }
}
let n = max;
print(n);
if (n == 0) {
    print(""Zero"");
}","Lexical","Unexpected character '$'","4","DELETE_CHAR_AT_INDEX","let arr = [1, 99, 0, 5, 9];
let max = 0;
for (let j = 0; j < 5; j = j + 1) {
    if (arr[j] > max) {
        max = arr[j];
    }
}
let n = max;
print(n);
if (n == 0) {
    print(""Zero"");
}","long"
"13867","let arr = [100, 10, 0, 5, 9];
let max = 0;
for (let j = 0; j < 5; j = j + 1) {
    if (arr[j] > max) {
        max = arr[j];
    }
}
let score = max;
print(score);
print(""hello);
    print(""Zero"");
}","Lexical","Unterminated string","10","INSERT_QUOTE","let arr = [100, 10, 0, 5, 9];
let max = 0;
for (let j = 0; j < 5; j = j + 1) {
    if (arr[j] > max) {
        max = arr[j];
    }
}
let score = max;
print(score);
print(""hello"");
    print(""Zero"");
}","long"
"13868","let value = 100;
let index = value * 2?;
print(index);","Lexical","Unexpected character '?'","2","DELETE_CHAR_AT_INDEX","let value = 100;
let index = value * 2;
print(index);","short"
"13869","let value = 99;
let result = value + 0~;
print(result);","Lexical","Unexpected character '~'","2","DELETE_CHAR_AT_INDEX","let value = 99;
let result = value + 0;
print(result);","short"
"13870","let name = 20;
if (name < 5) {
    print(""low"")
} else {
    print(""high"");
}","Syntactic","Expected ';' after print statement","3","INSERT_SEMICOLON","let name = 20;
if (name < 5) {
    print(""low"");
} else {
    print(""high"");
}","medium"
"13871","let value = 99;
print(value;","Syntactic","Expected ')'","2","INSERT_RPAREN","let value = 99;
print(value);","short"
"13872","for (let y = 0; y < 5; y = y + 1) {
    if (y > 2 {
        print(y);
    }
}","Syntactic","Expected ')'","2","INSERT_RPAREN","for (let y = 0; y < 5; y = y + 1) {
    if (y > 2) {
        print(y);
    }
}","medium"
"13873","let arr = 0;
let flag = 10;
let sum = 0;
print(""hello);
    if (arr > 5) {
        sum = sum + arr;
    } else {
        sum = sum + flag;
    }
    arr = arr + 1;
}
print(sum);","Lexical","Unterminated string","4","INSERT_QUOTE","let arr = 0;
let flag = 10;
let sum = 0;
print(""hello"");
    if (arr > 5) {
        sum = sum + arr;
    } else {
        sum = sum + flag;
    }
    arr = arr + 1;
}
print(sum);","long"
"13874","for (arr = 0; arr < 7; arr = arr + 1) {
    if (arr > 2) {
        print(arr);
    }
}","Semantic","Variable 'arr' used before declaration","1","PREPEND_LET","for (let arr = 0; arr < 7; arr = arr + 1) {
    if (arr > 2) {
        print(arr);
    }
}","medium"
"13875","let result = 0;
while (result < 15) {
    for (let k = 0; k < 20; k = k + 1) {
        print(k);
    }
    result = result + 1
}
print(result);","Syntactic","Expected ';' after assignment","6","INSERT_SEMICOLON","let result = 0;
while (result < 15) {
    for (let k = 0; k < 20; k = k + 1) {
        print(k);
    }
    result = result + 1;
}
print(result);","medium"
"13876","for (let limit = 0; limit < 10; limit = limit + 1) {
    let sum = limit * 10;
    print(sum)
}","Syntactic","Expected ';' after print statement","3","INSERT_SEMICOLON","for (let limit = 0; limit < 10; limit = limit + 1) {
    let sum = limit * 10;
    print(sum);
}","medium"
"13877","let limit = 15^;
print(limit);","Lexical","Unexpected character '^'","1","DELETE_CHAR_AT_INDEX","let limit = 15;
print(limit);","short"
"13878","for (arr = 0; arr < 0; arr = arr + 1) {
    if (arr > 2) {
        print(arr);
    }
}","Semantic","Variable 'arr' used before declaration","1","PREPEND_LET","for (let arr = 0; arr < 0; arr = arr + 1) {
    if (arr > 2) {
        print(arr);
    }
}","medium"
"13879","let index = [15, 99, 0];
print(index[1];","Syntactic","Expected ')'","2","INSERT_RPAREN","let index = [15, 99, 0];
print(index[1]);","short"
"13880","let arr = [0, 20, 0, 5, 9];
let max = 0;
for (let j = 0; j < 5; j = j + 1) {
    if (arr[j] > max) {
        max = arr[j]~;
    }
}
let y = max;
print(y);
if (y == 0) {
    print(""Zero"");
}","Lexical","Unexpected character '~'","5","DELETE_CHAR_AT_INDEX","let arr = [0, 20, 0, 5, 9];
let max = 0;
for (let j = 0; j < 5; j = j + 1) {
    if (arr[j] > max) {
        max = arr[j];
    }
}
let y = max;
print(y);
if (y == 0) {
    print(""Zero"");
}","long"
"13881","let value = 0;
let size = 10;
let sum = 0;
while (value < size) {
    if (value > 5) {
        sum = sum + value
    } else {
        sum = sum + size;
    }
    value = value + 1;
}
print(sum);","Syntactic","Expected ';' after assignment","6","INSERT_SEMICOLON","let value = 0;
let size = 10;
let sum = 0;
while (value < size) {
    if (value > 5) {
        sum = sum + value;
    } else {
        sum = sum + size;
    }
    value = value + 1;
}
print(sum);","long"
"13882","let n = 20;
print(""hello);
print(i);","Lexical","Unterminated string","2","INSERT_QUOTE","let n = 20;
print(""hello"");
print(i);","short"
"13883","let j = 100;
let j = 100;
let size = j + 99;
print(size);","Semantic","Variable 'j' already declared","2","REMOVE_LET_OR_RENAME","let j = 100;
j = 100;
let size = j + 99;
print(size);","medium"
"13884","let temp = 0;
while (temp < 7) {
    if (temp > 3) {
print(""hello);
    }
    temp = temp + 1;
}","Lexical","Unterminated string","4","INSERT_QUOTE","let temp = 0;
while (temp < 7) {
    if (temp > 3) {
print(""hello"");
    }
    temp = temp + 1;
}","medium"
"13885","let temp = 2;
if (temp > 5) {
    let target = temp * 2;
    print(target);
} else {
    print(temp)
}","Syntactic","Expected ';' after print statement","6","INSERT_SEMICOLON","let temp = 2;
if (temp > 5) {
    let target = temp * 2;
    print(target);
} else {
    print(temp);
}","medium"
"13886","for (result = 0; result < 10; result = result + 1) {
    let size = result * 3;
    print(size);
}","Semantic","Variable 'result' used before declaration","1","PREPEND_LET","for (let result = 0; result < 10; result = result + 1) {
    let size = result * 3;
    print(size);
}","medium"
"13887","let sum = 0;
while (sum < 99) {
    print(sum)~;
    sum = sum + 1;
}","Lexical","Unexpected character '~'","3","DELETE_CHAR_AT_INDEX","let sum = 0;
while (sum < 99) {
    print(sum);
    sum = sum + 1;
}","medium"
"13888","let target = 5;
let target = 5;
if (target > 0) {
    print(target);
}","Semantic","Variable 'target' already declared","2","REMOVE_LET_OR_RENAME","let target = 5;
target = 5;
if (target > 0) {
    print(target);
}","medium"
"13889","let max = 0;
while (max < 5) {
    print(max)#;
    max = max + 1;
}","Lexical","Unexpected character '#'","3","DELETE_CHAR_AT_INDEX","let max = 0;
while (max < 5) {
    print(max);
    max = max + 1;
}","medium"
"13890","let arr = [3, 99, 0, 5, 9];
let max = 0;
for (let j = 0; j < 5; j = j + 1) {
    if (arr[j] > max) {
        max = arr[j];
    }
}
let x = max;
print(x)
if (x == 0) {
    print(""Zero"");
}","Syntactic","Expected ';' after print statement","9","INSERT_SEMICOLON","let arr = [3, 99, 0, 5, 9];
let max = 0;
for (let j = 0; j < 5; j = j + 1) {
    if (arr[j] > max) {
        max = arr[j];
    }
}
let x = max;
print(x);
if (x == 0) {
    print(""Zero"");
}","long"
"13891","for (let size = 0; size < 2; size = size + 1) {
    if (size > 2) {
        print(size)
    }
}","Syntactic","Expected ';' after print statement","3","INSERT_SEMICOLON","for (let size = 0; size < 2; size = size + 1) {
    if (size > 2) {
        print(size);
    }
}","medium"
"13892","let j = 20;
let i = j * 2
print(i);","Syntactic","Expected ';' after variable declaration","2","INSERT_SEMICOLON","let j = 20;
let i = j * 2;
print(i);","short"
"13893","let limit = 7
print(limit);","Syntactic","Expected ';' after variable declaration","1","INSERT_SEMICOLON","let limit = 7;
print(limit);","short"
"13894","let k = 5;
if (k > 0) {
    print(k)
}","Syntactic","Expected ';' after print statement","3","INSERT_SEMICOLON","let k = 5;
if (k > 0) {
    print(k);
}","medium"
"13895","let temp = 0;
while (temp < 2) {
    if (temp > 3) {
        print(temp);
    
    temp = temp + 1;
}","Syntactic","Expected '}' to close block","5","INSERT_RBRACE","let temp = 0;
while (temp < 2) {
    if (temp > 3) {
        print(temp);
    }
    temp = temp + 1;
}","medium"
"13896","let flag = 2;
let min = flag + 7;
print(min;","Syntactic","Expected ')'","3","INSERT_RPAREN","let flag = 2;
let min = flag + 7;
print(min);","short"
"13897","arr = 0;
let max = arr + 1;
print(max);","Semantic","Variable 'arr' used before declaration","1","PREPEND_LET","let arr = 0;
let max = arr + 1;
print(max);","short"
"13898","let score = 7;
let y = 0;
while (y < score) {
    y = y + 1;

print(y);","Syntactic","Expected '}' to close block","5","INSERT_RBRACE","let score = 7;
let y = 0;
while (y < score) {
    y = y + 1;
}
print(y);","medium"
"13899","let temp = 0;
while (temp < 2) {#
    if (temp > 3) {
        print(temp);
    }
    temp = temp + 1;
}","Lexical","Unexpected character '#'","2","DELETE_CHAR_AT_INDEX","let temp = 0;
while (temp < 2) {
    if (temp > 3) {
        print(temp);
    }
    temp = temp + 1;
}","medium"
"13900","let x = 99;
let x = 99;
let score = 0;
while (score < x) {
    score = score + 1;
}
print(score);","Semantic","Variable 'x' already declared","2","REMOVE_LET_OR_RENAME","let x = 99;
x = 99;
let score = 0;
while (score < x) {
    score = score + 1;
}
print(score);","medium"
"13901","let score = 42;
if (score > 0) {
    print(score)
}","Syntactic","Expected ';' after print statement","3","INSERT_SEMICOLON","let score = 42;
if (score > 0) {
    print(score);
}","medium"
"13902","flag = 3;
if (flag > 0) {
    print(flag);
}","Semantic","Variable 'flag' used before declaration","1","PREPEND_LET","let flag = 3;
if (flag > 0) {
    print(flag);
}","medium"
